constraintsStrength,erreygersE,healthyDietReward,inertiaCoefficient,maxProbaToSwitch,numOfScenario,numberOfHealthy,seed,socialInequality,openmole$experiment
0.12894399,0.04680320696840966,0.153103026,0.819531377,0.890470449,3,1212170,7537047008093807094,1.5276192979990002,18157
0.12894399,0.046345939552424,0.153103026,0.819531377,0.890470449,3,1205458,4833080755964610913,1.5324292093374619,18155
0.12894399,0.04622928109929747,0.153103026,0.819531377,0.890470449,3,1208723,6059700782086003709,1.522947509165191,18161
0.12894399,0.046006789418596546,0.153103026,0.819531377,0.890470449,3,1209767,-3389487121876231230,1.5233860021920784,18153
0.12894399,0.04627097978397031,0.153103026,0.819531377,0.890470449,3,1207996,-8416749116416482923,1.5260146919895363,18172
0.12894399,0.04670725914830102,0.153103026,0.819531377,0.890470449,3,1214088,-7793305393985915242,1.5335348495748942,18176
0.12894399,0.046261523250095124,0.153103026,0.819531377,0.890470449,3,1213087,5281727310409792061,1.5271949452184326,18174
0.12894399,0.04632583191558586,0.153103026,0.819531377,0.890470449,3,1212211,-4521005653271162539,1.5265932240410602,18178
0.12894399,0.045754613753175404,0.153103026,0.819531377,0.890470449,3,1212199,-4414139506785824862,1.5217740592793894,18180
0.12894399,0.046523054297325735,0.153103026,0.819531377,0.890470449,3,1215789,8820503016099224694,1.5272529424975911,18189
0.12894399,0.047182901330191575,0.153103026,0.819531377,0.890470449,3,1213704,-8168478408232918904,1.5359337482013364,18185
0.12894399,0.046955973972817144,0.153103026,0.819531377,0.890470449,3,1213362,-9200040192584929145,1.534445054238651,18187
0.12894399,0.046114169531226754,0.153103026,0.819531377,0.890470449,3,1207126,-6565750767415148363,1.524304958463279,18183
0.12894399,0.04704784830147414,0.153103026,0.819531377,0.890470449,3,1211913,6249915589158516279,1.5381295019432304,18181
0.12894399,0.046661229913103154,0.153103026,0.819531377,0.890470449,3,1216325,4395526438305023519,1.5313794348434795,18356
0.12894399,0.046503467068952,0.153103026,0.819531377,0.890470449,3,1210807,4382924979885617732,1.5314054070739302,18349
0.12894399,0.0464755610895875,0.153103026,0.819531377,0.890470449,3,1211634,-6829330455907046684,1.529237527655041,18351
0.12894399,0.04624692799656754,0.153103026,0.819531377,0.890470449,3,1208198,5361941011618479216,1.5277270148992976,18355
0.12894399,0.0467167430365103,0.153103026,0.819531377,0.890470449,3,1211805,-1257713154699734650,1.5336024796417569,18353
0.12894399,0.04632000571897427,0.153103026,0.819531377,0.890470449,3,1212616,-3370703335527640293,1.5243441525685095,18198
0.12894399,0.046138893127402825,0.153103026,0.819531377,0.890470449,3,1208189,-82491907798573218,1.5263140657356082,18194
0.12894399,0.04661041886733201,0.153103026,0.819531377,0.890470449,3,1212386,-3986317029939478436,1.5333681543470568,18196
0.12894399,0.04596133849081999,0.153103026,0.819531377,0.890470449,3,1206681,7293436470657282796,1.5213595143980045,18192
